Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
1925,00:00:15.371,IMU4,2.03,0.7,9.48,0.0,0.0,0.0,18.44,7.62,-34.69,0.09,-0.06,0.56,0.82
1925,00:00:15.371,IMU3,-6.42,1.11,-6.91,0.0,0.0,0.0,3.38,-5.62,37.06,-0.77,0.51,0.34,0.15
1926,00:00:15.375,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1926,00:00:15.375,IMU6,1.21,-0.77,9.74,0.0,0.0,-0.01,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1926,00:00:15.375,IMU4,2.03,0.7,9.48,0.0,0.0,0.0,19.12,7.25,-35.56,0.09,-0.06,0.56,0.82
1926,00:00:15.375,IMU3,-6.42,1.11,-6.91,0.0,0.0,0.0,3.38,-5.62,37.06,-0.77,0.51,0.34,0.15
1927,00:00:15.382,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1927,00:00:15.382,IMU6,1.25,-0.81,9.74,0.0,0.0,-0.01,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1927,00:00:15.382,IMU4,2.03,0.7,9.48,0.0,0.0,0.0,19.12,7.25,-35.56,0.09,-0.06,0.56,0.82
1927,00:00:15.382,IMU3,-6.42,1.11,-6.91,0.0,0.0,0.0,3.38,-5.62,37.06,-0.77,0.51,0.34,0.15
2885,00:00:19.119,IMU7,1.78,3.49,-9.16,0.0,0.0,0.0,21.88,9.88,28.31,0.47,0.86,0.2,0.01
2885,00:00:19.119,IMU5,6.81,-0.44,7.06,-0.0,0.0,-0.0,6.31,-12.69,-35.31,0.31,-0.21,0.79,0.48
2885,00:00:19.119,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
2886,00:00:19.124,IMU7,1.78,3.49,-9.16,0.0,0.0,0.0,21.88,9.88,28.31,0.47,0.86,0.2,0.01
2886,00:00:19.124,IMU5,6.81,-0.44,7.06,-0.0,0.0,-0.0,6.31,-12.69,-35.31,0.31,-0.21,0.79,0.48
2886,00:00:19.124,IMU1,9.26,1.28,3.16,0.0,0.0,0.0,-17.5,14.19,-26.75,0.28,-0.51,0.28,0.76
1928,00:00:15.388,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1928,00:00:15.388,IMU6,1.25,-0.81,9.74,-0.0,0.0,0.0,-4.62,-21.44,-38.75,-0.06,0.04,-1.0,0.01
1928,00:00:15.388,IMU4,2.03,0.7,9.48,0.0,0.0,0.0,19.12,7.25,-35.56,0.09,-0.06,0.56,0.82
1928,00:00:15.388,IMU3,-6.42,1.11,-6.91,0.0,0.0,0.0,3.38,-5.62,37.06,-0.77,0.51,0.34,0.15
1929,00:00:15.391,IMU2,1.34,-7.13,6.51,0.0,0.0,0.0,0.06,0.88,-36.75,0.03,-0.41,0.91,0.1
1929,00:00:15.391,IMU6,1.25,-0.81,9.74,-0.0,0.0,0.0,-4.44,-22.06,-38.69,-0.06,0.04,-1.0,0.01
1929,00:00:15.391,IMU4,2.03,0.7,9.48,0.0,0.0,0.0,19.12,7.25,-35.56,0.09,-0.06,0.56,0.82
