Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37904,00:02:44,IMU1,0.0,0.0,0.01,1.46,-0.88,9.42,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37904,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37904,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37905,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.42,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37905,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37905,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37906,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.42,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37906,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37906,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37907,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37907,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.19,-6.12,-28.38,-0.09,0.12,-0.89,0.43
37907,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37908,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-2.19,-6.62,-29.12,0.06,-0.07,0.94,0.34
37908,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37908,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37909,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37909,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37909,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37910,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37910,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
37910,00:02:44,IMU3,0.0,0.0,0.0,-0.42,-0.96,9.61,-13.69,-32.75,-13.62,0.02,0.05,-0.99,0.16
37911,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.5,-0.69,-7.38,-29.88,0.06,-0.07,0.94,0.34
37911,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.38,-18.88,-6.5,-24.44,-0.09,0.12,-0.89,0.43
